"rootgene1" "rootgene2" "rootgene3" "rootgene4" "rootgene5" "rootgene6" "rootgene7" "rootgene8" "rootcellcount" "offsgene1" "offsgene2" "offsgene3" "offsgene4" "offsgene5" "offsgene6" "offsgene7" "offsgene8" "offscellcount" "changeprobe1" "changeprobe2" "changeprobe3" "changeprobe4" "changeprobe5" "changeprobe6" "changeprobe7" "changeprobe8" "changeprobenumber" "TotalPrize"
2 1 4 2 1 1 1 2 2 2 2 3 3 1 2 5 2 1 0 1 1 1 0 1 1 0 5 2.95030643460538e-07
2 1 4 3 1 1 1 2 1 2 0 4 3 1 1 1 2 1 0 1 0 0 0 0 0 0 1 0.00899137516400718
2 1 4 3 1 1 1 2 1 2 2 5 4 2 2 2 4 1 0 1 1 1 1 1 1 1 7 4.64720433629443e-08
2 2 2 2 1 1 1 2 1 2 2 2 2 1 1 2 2 1 0 0 0 0 0 0 1 0 1 0.0434573496855956
2 2 2 2 1 1 1 2 1 2 2 2 3 2 1 1 2 1 0 0 0 1 1 0 0 0 2 0.00176317962810488
2 2 2 2 1 1 2 2 1 2 2 3 2 1 1 2 2 1 0 0 1 0 0 0 0 0 1 0.0251875040527466
2 2 2 2 1 2 2 2 1 2 2 2 2 1 2 3 2 1 0 0 0 0 0 0 1 0 1 0.0207664125818015
2 2 2 3 2 1 1 2 1 2 2 2 3 2 2 4 2 1 0 0 0 0 0 1 1 0 2 0.000619323277776382
2 2 3 2 1 1 1 2 2 2 1 3 2 1 1 1 2 34 0 1 0 0 0 0 0 0 1 0.027696439742913
2 2 3 2 1 1 1 2 2 2 2 4 2 2 1 1 2 1 0 0 1 0 1 0 0 0 2 0.00393785542574958
2 2 3 2 1 1 1 3 1 3 2 4 2 1 1 2 2 1 1 0 1 0 0 0 1 1 4 0.000204673651799536
2 2 3 2 1 1 2 2 1 2 2 3 2 1 1 1 2 2 0 0 0 0 0 0 1 0 1 0.0234986514107887
2 2 3 2 2 1 2 2 1 2 2 3 2 2 2 1 2 1 0 0 0 0 0 1 1 0 2 0.0036280903393535
2 2 5 4 2 2 2 4 1 2 2 6 3 1 2 2 3 1 0 0 1 1 1 0 0 1 4 3.83331283502618e-05
2 2 6 3 1 2 2 3 1 3 1 2 2 0 1 4 2 1 1 1 1 1 1 1 1 1 8 2.92929044896051e-09
2 4 3 4 2 2 5 4 1 4 1 4 4 1 2 2 4 1 1 1 1 0 1 0 1 0 5 7.8795771445968e-07
3 1 4 3 1 1 1 3 1 3 1 6 3 2 1 2 3 1 0 0 1 0 1 0 1 0 3 6.48474755084577e-05
3 1 6 3 2 1 2 3 1 3 2 6 0 2 1 2 3 1 0 1 0 1 0 0 0 0 2 5.79604373004759e-05
3 2 6 4 2 2 2 4 1 6 2 6 2 1 2 2 2 1 1 0 0 1 1 0 0 1 4 1.04358028808664e-06
4 0 5 4 0 0 0 5 1 5 2 8 6 2 3 4 6 1 1 1 1 1 1 1 1 1 8 1.284249112146e-07
4 1 4 4 0 2 3 4 1 4 1 6 3 1 1 1 4 1 0 0 1 1 1 1 1 0 5 5.12112283065583e-07
4 1 4 4 0 2 3 4 1 4 2 6 4 2 3 1 4 1 0 1 1 0 1 1 1 0 5 3.99647493865953e-07
4 1 4 4 1 2 2 4 1 4 1 5 3 2 2 2 5 1 0 0 1 1 1 0 0 1 4 5.49314348006442e-06
4 1 5 3 2 2 2 5 1 4 1 5 4 2 2 2 4 1 0 0 0 1 0 0 0 1 2 0.00620200312870295
4 1 5 4 2 2 2 4 1 4 1 6 4 2 2 2 4 1 0 0 1 0 0 0 0 0 1 0.0271358084842538
4 1 6 3 1 1 1 4 1 4 1 6 4 1 2 3 4 1 0 0 0 1 0 1 1 0 3 0.000358654638764623
4 1 6 3 2 2 2 4 1 4 2 5 4 2 3 2 4 1 0 1 1 1 0 1 0 0 4 3.45870600726984e-05
4 1 6 4 1 2 3 4 1 4 2 6 6 2 2 2 8 1 0 1 0 1 1 0 1 1 5 3.35561281264662e-08
4 1 6 4 1 2 3 4 1 4 2 7 4 2 2 4 4 1 0 1 1 0 1 0 1 0 4 4.97518602187584e-05
4 1 6 4 2 2 2 4 1 4 1 6 3 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.00912604980986302
4 1 6 4 2 2 2 4 1 4 2 6 4 2 2 2 4 5 0 1 0 0 0 0 0 0 1 0.0189214184768153
4 1 6 4 2 2 2 4 1 5 1 6 4 2 2 2 4 1 1 0 0 0 0 0 0 0 1 0.0148453328241976
4 2 4 3 2 2 2 4 1 4 2 5 3 2 2 2 4 1 0 0 1 0 0 0 0 0 1 0.0104224001773792
4 2 4 4 2 2 2 4 2 4 2 4 3 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0160046478867827
